dsmsgkey,dsenus,dsptbr,dseses
Label.invoiceExpired,Overdue invoice,Invoice vencida,Factura vencida
Label.newWidget,New widget,Novo widget,Nuevo widget
Label.officeTaxesCalculation,Taxes and Retention,Impostos e Retenções,Impuestos y Retenciones de Oficina
Label.InvoiceFromOtherOffice,This Invoice belongs to another office. To edit it go to the correct office.,Esta Invoice pertence a outro escritório. Para editá-la acesse o escritório correto.,"Esta factura pertenece a otra oficina. Para editarla, vaya a la oficina correcta."
Label.invoices,Invoices,Invoices,Facturas
Label.invoicesList,Invoice List,Lista de Invoices,Lista de facturas
Label.IssInfo,<h4>Tax Rate on Services (ISS)</h4>It will be used for the ISS calculation if the <b>Tax Regime</b> is <b>Simple National</b> or <b>Individual Microentrepreneur (MEI)</b>.,<h4>Alíquota do Imposto Sobre Serviços (ISS)</h4>Será utilizada para o cálculo do ISS caso o <b>Regime Tributário</b> seja <b>Simples Nacional</b> ou <b>Microempreendedor Individual (MEI)</b>.,<h4>Tasa de Impuesto sobre Servicios (ISS)</h4>Se utilizará para el cálculo del ISS si el <b>Regimen Tributario</b> es <b>Simples Nacional</b> o <b>Microempreendedor Individual (MEI)</b>.
Label.issRetain,ISS Retained,ISS Retido pelo Tomador,ISS retenido
Label.issueNfeInvoiceCost,"I am aware that this operation consume <span class=""text-danger"">{0} credit</span>.","Estou ciente que esta operação consumirá <span class=""text-danger"">{0} crédito</span>.","Soy consciente de que esta operación consume <span class=""text-danger"">{0} crédito</span>."
Label.issuingNfeInvoice,Sending data to government authorities ...,Enviando dados para Prefeitura ...,Enviando datos a las autoridades gubernamentales...
Label.items,Items,Itens,Artículos
Label.lastUpdate,Last update:,Última atualização:,Última actualización:
Label.latefeesPayment,Late Fees Payment,Pagamento Multas Atraso,Pago de Multas por Retraso
Label.launchBuy,Launch buy,Lançar compra,Lanzar compra
Label.launchChargeAgain,Do you want to launch this charge again?,Deseja Lançar esta taxa novamente?,¿Desea lanzar esta carga de nuevo?
Label.launchSell,Launch sell,Lançar venda,Lanzar venta
Label.layoutCustom,Custom Layout,Layout Customizado,Diseño personalizado
Label.layoutDefault,Layout Default,Layout Padrão,Diseño predeterminado
Label.lclImportTariffTemplate,Import Tariff Template (LCL),Template para Importação de Tarifário (LCL),Plantilla de Arancel de Importación (LCL)
Label.legalNature,Legal Nature,Natureza Jurídica,Naturaleza jurídica
Label.lessThanOneMonth,Less than one month,Menos de um mês,Menos de un mes
Label.lettersAvailableFields,"These letters may contain Tag fields representing some system fields, for example, if you want to use the Customer Name, use the [obCustomer.name] tag. A complete list of available Tags can be found below.","Estas cartas podem conter campos de Tags representando alguns campos do sistema, por exemplo, caso queira utilizar o nome do cliente, utilize a tag [obCustomer.name]. Uma lista completa das Tags disponíveis pode ser encontrada abaixo.","Estas cartas pueden contener campos de etiquetas que representan algunos campos del sistema, por ejemplo, si desea utilizar el nombre del cliente, utilice la etiqueta [obCustomer.name]. Una lista completa de etiquetas disponibles se puede encontrar a continuación."
Label.light-theme,Light,Claro,Claro
Label.link,Link,Vincular,Enlace
Label.linkAllChargesInInvoiceToFinishProcess,"Link all charges in to their respective invoices to finish process.
",Vincule todas as taxas em suas respectivas invoices para encerrar o processo.,Vincular todas las cargas a sus respectivas facturas para finalizar el proceso.
Label.linkAnExisting,Link an existing,Vincular um existente,Vincular un existente
Label.linkCostCenter,Link cost center,Vincular centro de custo,Vincular centro de costos
Label.linkedCostCenters,Linked cost centers,Centros de custo vinculados,Centros de coste vinculados
Label.linkNetworkings,Link networkings,Vincular networkings,Vincular networkings
Label.linkOffice,Link Office,Vincular Escritório,Vincular Oficina
Label.linkProcess,Link Process,Vincular Processo,Vincular Proceso
Label.linkQuotationIn,"Link quotation <span class=""text-navy"">{0}</span> in: ","Vincular cotação <span class=""text-navy"">{0}</span> em: ","Vincular cotización <span class=""text-navy"">{0}</span> en:"
Label.linkSalesman,Link Salesperson,Vincular Vendedor,Vincular vendedor
Label.linkSellChargesInInvoiceToFinishProcess,Link sell charges in to their respective invoices to finish process.,Vincule todas as taxas de vendas em suas respectivas invoices para encerrar o processo.,Vincule los cargos de venta en sus respectivas facturas para finalizar el proceso.
Label.list,List,Lista,Lista
Label.loadingBorrower,Fetching Data from Borrower ...,Buscando dados do Tomador do Serviço ...,Obteniendo datos del Tomador del Servicio...
Label.loadingNfeInvoice,Loading informations for NFe...,Carregando informações para NFe...,Cargando información para NFe...
Label.loadingNfeInvoiceFailed,NFe load failed.,Carregamento de NFe falhou.,Error al cargar NFe.
Label.local,Local,Local,Local
Label.LockFinishProcessWithOpenedCharges,Block process finish with uninvoiced charges,Bloquear finalizar processo com taxas não faturadas,Bloquear finalización del proceso con cargos no facturados.
Label.lockForEditing,Lock for editing,Bloquear para edição,Bloquear para edición
Label.locks,Locks,Travas,Trabas
Label.login,Login,Entrar,Iniciar sesión
Label.loginOther,Login with another account,Logar com outra conta,Iniciar sesión con otra cuenta
Label.logout,Sign out,Sair,Cerrar sesión
Label.lost,Lost,Perdidos,Perdidos
Label.mainActivity,Main activity,Atividade principal,Actividad principal
Label.mainOfficeContact,Main office contact,Contato principal do escritório,Contacto principal de la oficina
Label.mainVault,Main card,Cartão principal,Tarjeta principal
Label.manageMyVaults,Manage my credit cards,Gerenciar meus cartões,Administrar mis tarjetas de crédito
Label.mandatoryConfigCallAdmin,Contact the administrator of this organization to complete the configuration.,Contacte o administrador desta organização para realizar a configuração.,Contacte al administrador de esta organización para completar la configuración.
Label.nmAgentPayOffice,Remittance Agent,Agente Remessa,Agente de Remesa
Label.mandatoryConfigNeeded,It will not be possible to operate the system without the required mandatory settings.,Não será possível operar o sistema sem as configurações obrigatórias necessárias.,No será posible operar el sistema sin las configuraciones obligatorias requeridas.
Label.mandatoryConfigs,Some settings required for proper system operation are missing!,Algumas definições necessárias para o funcionamento do sistema estão faltando!,¡Faltan algunas configuraciones necesarias para el correcto funcionamiento del sistema!
Label.mandatoryConfigurations,Required settings!,Definições necessárias!,¡Configuraciones obligatorias!
Label.mandatoryFiles,Mandatory Files,Arquivos Obrigatórios,Archivos Obligatorios
Label.manualRecharge,Manual Recharge,Recarga Manual,Recarga Manual
Label.editVolume,Volume Editing,Edição de Volume,Edición de Volumen
Label.manualTrackingSend,Manual Tracking Tool,Envio de Tracking Manual,Herramienta de seguimiento manual
Label.master,Master,Master,Maestro
Label.masterField,"Master field ""{0}""","Campo ""{0}"" no master","Campo maestro ""{0}"""
Label.masterFields,Master fields {0},Campos {0} no master,Campos maestros {0}
Label.max,Max,Max,Máximo
Label.maybeYouAreUser,"You may be the user of some company. If this is the case, please contact your invitations from your business users.","Talvez você seja o usuário de alguma empresa. Se esse for o caso, por favor, entre em contato com o responsável pelos convites dos usuários, da sua empresa.","Quizás seas el usuario de alguna empresa. Si este es el caso, por favor contacta al responsable de las invitaciones de usuarios de tu empresa."
Label.measurement,Measurement,Measurement,Medición
Label.memberEmailInfo,This email will be used for <b>document printing</b> and <b>SMTP</b>.,Este Email será utilizado para <b>impressão de documentos</b> e <b>SMTP</b>.,Este correo electrónico se utilizará para <b>imprimir documentos</b> y <b>SMTP</b>.
Label.memberPasswordInfo,"<p><b>The company to wich you belong has SMTP</b> configured, which allows you to send files directly from the platform.</p>
<p><b>To enable this feature</b>, set your Email and Password according to the one registered in it.</p>","<p><b>A empresa a qual você pertence tem SMTP</b> configurado, o que te permite enviar arquivos diretamente da plataforma.</p>
<p><b>Para habilitar esta funcionalidade</b>, configure seu Email e Senha de acordo com o cadastrado nela.</p>","<p><b>La empresa a la que perteneces tiene SMTP</b> configurado, lo que te permite enviar archivos directamente desde la plataforma.</p>
<p><b>Para habilitar esta función</b>, configura tu correo electrónico y contraseña de acuerdo con los registrados en ella.</p>"
Label.memoryHealthy,Healthy,Saudável,Saludable
Label.memoryHeavy,Heavy,Pesado,Pesado
Label.memoryInUse,Memory in use,Memória em uso,Memoria en uso
Label.memoryInUseExplanation,"This is the amount of memory being used by SmartComex. After long periods of use, the amount of memory in use can be very high, affecting application performance.","Esta é a quantidade de memória que está sendo usada pelo SmartComex. Após longos períodos de utilização, a quantidade de memória em uso pode ser muito alta, afetando o desempenho do aplicativo.
","Esta es la cantidad de memoria que está siendo utilizada por SmartComex. Después de largos períodos de uso, la cantidad de memoria en uso puede ser muy alta, afectando el rendimiento de la aplicación."
Label.memoryModerate,Moderate,Moderado,Moderado
Label.addContact,Add Contact,Adicionar Contato,Agregar contacto
Label.gTotalAndGrandTotal,"The cost study duplicates all non ""Per Cntr / Equipment"" charges on all equipment. Therefore, the ""Grand Total"" will be affected if there is more than one volume.","O estudo de custo duplica todas as taxas que não são ""Por Cntr / Equipamento"" em todos os equipamentos. Portanto, o ""Total Geral"" será afetado caso exista mais de um volume.","El estudio de costos duplica todos los cargos que no son ""Por Cntr / Equipo"" en todos los equipos. Por lo tanto, el ""Total General"" se verá afectado si hay más de un volumen."
Label.imporFromAirline,Import from Airline,Importar da Cia Aérea,Importación desde la aerolínea
Label.merchantList,Merchant List,Lista da Mercante,Lista de comerciantes
Label.messageStatusInactive,This charge has 'Inactive' status in the charge register,Essa taxa está com status 'Inativo' no cadastro de taxas,Esta tarifa tiene estado 'Inactivo' en el registro de tarifas.
Label.min,Min,Min,Mínimo
Label.minProfit,Minimum Profit,Profit Mínimo,Beneficio mínimo
Label.minSevenChars,At least 7 characters,Ao menos 7 caracteres,Al menos 7 caracteres
Label.minutesBeforeEvent,Minutes before event,Minutos antes do evento,Minutos antes del evento
Label.mmsi,MMSI,MMSI,MMSI
Label.modalities,Modalities,Modalidades,Modalidades
Label.modules,Modules,Módulos,Módulos
Label.modulesToSubscribe,Modules available for subscription,Módulos disponíveis para assinatura,Módulos disponibles para suscripción
Label.monday,Monday,Segunda,Lunes
Label.month,Month,Mês,Mes
Label.monthInterest,Interest/month,Juros/mês,Interés/mes
Label.months,Months,Meses,Meses
Label.mooring-control,Mooring and Billing,Atracação e Faturamento,Amarre y facturación
Label.mooringTerminal,Mooring Terminal,Terminal de Atracação,Terminal de Atraque
Label.moreConfetti,More Confetti,Mais Confete,Más Confeti
Label.MS.SmtpSubmission,"Attention: If your company uses MS Office 365, please ensure that ""authenticated client SMTP submission"" is enabled in your account. Please go to: <a href=""{0}"" target=""_blank"">{1}</a>","Atenção: Caso sua empresa utilize MS Office 365, garanta que o ""envio SMTP do cliente autenticado"" está ativado na sua conta. Por favor acesse: <a href=""{0}"" target=""_blank"">{1}</a>","Atención: Si su empresa utiliza MS Office 365, asegúrese de que esté habilitado el ""envío SMTP de cliente autenticado"" en su cuenta. Por favor, vaya a: <a href=""{0}"" target=""_blank"">{1}</a>"
Label.multimodal,Multimodal,Multimodal,Multimodal
Label.municipalTaxNumber,Municipal Tax Number,Inscrição Municipal,Número de Impuesto Municipal
Label.name,Name,Nome,Nombre
Label.national,National,Nacional,Nacional
Label.nbAutoPlanLimit,Auto recharge on hit,Auto recarga ao atingir,Recarga automática al impactar
Label.nbCarrierDays,Carrier Days,Dias do Armador,Días del transportista
Label.nbCourier,# Courier,Nº Courier,Nº de mensajero
Label.nbCreditsLost,Amount of credits you will lost,Quantidade de créditos que você perderá,Cantidad de créditos que perderás
Label.nbCreditUnit,How much you pay for credit in this plan,Quanto você paga por crédito nesse plano,Cuánto pagas por crédito en este plan
Label.nbDays,{0} days,{0} dias,{0} días
Label.nbHouse,Number of houses,Quantidade de houses,Número de casas
Label.nbMaster,Number of masters,Quantidade de masters,Número de maestros
Label.nbMaxWeight,Max Weight (Kg),Peso Máximo (Kg),Peso Máximo (Kg)
Label.nbMonthsToExpend,Your recharge will be enough for,Sua recarga será suficiente para,Tu recarga será suficiente para
Label.nbOrder,Order,Ordem,Orden
Label.nbPackages,Nº of packages,Nº de pacotes,Nº de paquetes
Label.nbParcels,Qty of Parcels,Quantidade de Parcelas,Cantidad de paquetes
Label.nbQtInvoices,Invoice Amount,Qtde Invoices,Cantidad de facturas
Label.nbTare,Tare (Kg),Tara (Kg),Tara (Kg)
Label.nbTracking,Tracking number,Número de rastreio,Número de seguimiento
Label.airports,Airports,Aeroportos,Aeropuertos
Label.confirm,Confirm,Confirmar,Confirmar
Label.eta,ETA,ETA,ETA
Label.house,House,House,Casa
Label.nbTransitTime,Transit Time (days),Transit Time (dias),Tiempo de tránsito (días)
Label.networking,Networking,Networking,Networking
Label.networkingOfficeAffiliates,Networking affiliated offices,Escritórios afiliados ao networking,Oficinas afiliadas de networking
Label.networkings,Networkings,Networkings,Networking
Label.new,New,Novo,Nuevo
Label.newDeclaration,New Declaration,Nova Declaração,Nueva Declaración
Label.newFreightValue,New Freight Value,Novo Valor de Frete,Nuevo valor de flete
Label.newManifest,New Manifest,Novo Manifesto,Nuevo Manifiesto
Label.newOrReactivated,New/Reactivated,Novos/Reativados,Nuevos/Reactivados
Label.newPassword,New Password,Nova Senha,Nueva Contraseña
Label.newPayment,New Payment,Novo Pagamento,Nuevo Pago
Label.newPaymentMethod,New Payment Method,Nova Forma de Pagamento,Nuevo Método de Pago
Label.newSalesPerson,New salesperson,Novo vendedor(a),Nuevo vendedor/a
Label.next,Next,Avançar,Siguiente
Label.nfe,NFe,Nota Fiscal Eletrônica,Nota Fiscal Electrónica
Label.nfeDescription,Services description,Discriminação dos Serviços,Descripción de servicios
Label.nfeDigitalCertificateInfo,"The Digital Certificate is a legally valid signature that protects electronic transactions and other services over the Internet, enabling people and businesses to digitally identify and sign from anywhere in the world with greater security and speed.","O Certificado Digital é uma assinatura com validade jurídica que garante proteção às transações eletrônicas e outros serviços via internet, permitindo que pessoas e empresas se identifiquem e assinem digitalmente de qualquer lugar do mundo com mais segurança e agilidade.","El Certificado Digital es una firma legalmente válida que protege las transacciones electrónicas y otros servicios en Internet, permitiendo a personas y empresas identificarse y firmar digitalmente desde cualquier lugar del mundo con mayor seguridad y rapidez."
Label.nfeDigitalCertificateNeeded,You need the digital certificate to emit NFes,Você precisa do certificado digital para emitir notas fiscais,Necesita el certificado digital para emitir NFes.
Label.nfeInfo,"In SmartComex it is possible to generate NFe from an Invoice. To do this, register the necessary data.","No SmartComex é possível gerar Nota Fiscal à partir de uma Invoice. Para isso, cadastre os dados necessários.","En SmartComex es posible generar una NFe a partir de una factura. Para hacerlo, registre los datos necesarios."
Label.nfeNumber,#NF,#NF,#NF
Label.nfes,NFes,Notas fiscais,NFes
Label.NifVat,TAX ID / NIF / VAT,CNPJ / CPF / NIF / VAT,ID de impuestos / NIF / IVA
Label.nmCarrierDest,Carrier Destination,Armador Destino,Destino del transportista
Label.nmCarrierOrigin,Carrier Origin,Armador Origem,Origen del transportista
Label.nmCertificateFriendly,Friendly Name,Nome Amigável,Nombre amigable
Label.nmCneeHouse,CNEE (House),CNEE (House),CNEE (Casa)
Label.nmCneeMaster,CNEE (Master),CNEE (Master),CNEE (Maestro)
Label.nmColoader,Shipowner / Coloader,Armador / Coloader,Armador / Coloader
Label.nmColoaderProc,Co-Loader (Editado),Co-Loader (Editado),Co-Loader (Editado)
Label.nmCompany,Name company,Nome da empresa,Nombre de la empresa
Label.nmCostCenter,Cost center name,Nome do centro de custo,Nombre del centro de costos
Label.nmDepartment,Department Name,Nome do Departamento,Nombre del Departamento
Label.autoGenerated,Auto Generated,Gerado Automaticamente,Generado automáticamente
Label.billingHistory,Billing History,Histórico de Pagamento,Historial de facturación
Label.cargoPresence,Cargo Presence,Presença de Carga,Presencia de carga
Label.commercialPurpose,Comm Purpose,Dest Comercial,Propósito comercial
Label.nmFileSubType,Document type,Tipo de documento,Tipo de archivo secundario
Label.nmFinalDestination,Final destination of the process,Dest final do proc,Destino final del proceso
Label.nmGoods,Goods Name,Nome da Mercadoria,Nombre de la mercancía
Label.nmLast,Last name,Sobrenome,Apellido
Label.nmNotification,Notification title,Título da notificação,Título de la notificación
Label.nmOffice,Office name,Nome do escritório,Nombre de la oficina
Label.nmOrganization,Organization Name,Nome da Organização,Nombre de la organización
Label.nmPayer,Payer name,Nome do pagador,Nombre del pagador
Label.nmSalesman2,Salesperson 2,Vendedor 2,Vendedor 2
Label.nmServiceType,Service type,Tipo de serviço,Tipo de servicio
Label.nmSubAgent,Sub Agent,Representante,Representante secundario
Label.nmTemplate,Choose a Template Name,Escolha um Nome para seu Template,Elija un nombre de plantilla
Label.nmThirdPart,Third part name,Nome do terceiro comissionado,Nombre del tercero
Label.nmUser,What's your name?,Qual o seu nome?,¿Cuál es tu nombre?
Label.nmUserOperation,Pre Coordinator,Pré Coordenador,Pre Coordinador
Label.nmVessel,Vessel,Navio,Buque
Label.noActiveEnrollments,No active subscription!,Nenhuma assinatura ativa!,¡Sin suscripciones activas!
Label.noAirlineSelected,No airline selected.,Nenhuma companhia aérea selecionada.,Ninguna aerolínea seleccionada.
Label.noApprovedQuotationAvailable,No approved quotation available,Nenhuma cotação aprovada disponível,No hay cotización aprobada disponible.
Label.noCarrierDestFound,No carrier destination found<br/>Go to the process and set one to continue,Nenhum armador de destino encontrado<br/>Vá para o processo e defina um para continuar,No se encontró ningún destino de transportista<br/>Vaya al proceso y establezca uno para continuar.
Label.noChanges,No changes,Sem alterações,Sin cambios
Label.noCharges,No charges found,Nenhuma taxa encontrada,No se encontraron cargos
Label.noCneeShipperSelected,No Cnee/Shipper selected,Nenhum Cnee/Shipper selecionado,Ningún Cnee/Shipper seleccionado
Label.noCompanyCostCenterFound,No cost center percentage defined for this company,Nenhuma porcentagem de centro de custo definida para esta empresa,No se ha definido un porcentaje de centro de costos para esta empresa.
Label.noCostCenterFound,No cost center found,Nenhum centro de custo encontrado,No se encontró ningún centro de costos.
Label.noCostCenterLinked,No cost center linked,Nenhum centro de custo vinculado,Ningún centro de coste vinculado
Label.noData,No data,Nenhum dado,Sin datos
Label.noDataTracking,Filter the processes you want then click submit and select who will be notified.,Filtre o processo desejado então clique em enviar e selecione quem deve ser notificado.,"Filtre los procesos que desea, luego haga clic en enviar y seleccione quién será notificado."
Label.noDuplicatedContinue,"Continue, no duplicated data","Continuar, nenhuma duplicidade","Continuar, sin datos duplicados"
Label.noInfoAvailable,No information available by now.,Nenhuma informação disponível até o momento.,No hay información disponible por el momento.
Label.noLinkedOrganization,No linked organization,Nenhuma organização vinculada,Ninguna organización vinculada
Label.noManifestFound,No manifest found,Nenhum manifesto encontrado,No se encontró ningún manifiesto.
Label.noMasterCharges,No charges found in Master,Nenhuma taxa encontrada no Master,No se encontraron cargos en el Master.
Label.noMasterVolumes,No volumes available in Master,Nenhum volume disponível no Master,No hay volúmenes disponibles en Master.
Label.noModalities,No Modalities,Sem Modalidades,Sin Modalidades
Label.noModality,No modality,Sem modalidade,Sin modalidad
Label.noOperations,No operations,Sem operações,Sin operaciones
Label.addOccurrence,Add Occurrence,Adicionar Ocorrência,Agregar Ocurrencia
Label.informedQuantitySmall,Informed Qty,Qtd Informada,Cant. Informada
Label.nonManifestedCoShipments,Non Manifested Shipments,Remessas não Manifestadas,Envíos no manifestados
Label.nonProfitable,Non profitable,Non profitable,No rentable
Label.noOriginalValue,No original value registered,Nenhum valor original cadastrado,Ningún valor original registrado
Label.noPayerSelected,No billing information registered,Nenhum dado para faturamento registrado,No se ha registrado información de facturación.
Label.noPlanSelected,There's no auto recharge registered.,Nenhuma recarga automática cadastrada.,No hay ninguna recarga automática registrada.
Label.noRegisteredEmail,No resgistered email,Nenhum email registrado,Ningún correo electrónico registrado
Label.noResult,No Result found,Nenhum Resultado encontrado,Ningún resultado encontrado
Label.noSalesperson,Salesperson not found,Vendedores não encontrados,Vendedor no encontrado
Label.notAcceptedDraftDeletion,Informations filled by the client and not accepted will be deleted,Informações lançadas pelo cliente e não aceitas serão deletadas,Las informaciones proporcionadas por el cliente y no aceptadas serán eliminadas.
Label.notDelivered,Not returned,Não devolvido,No entregado
Label.NotificationObject.CertExpiredNfe,NFe certification validity,Validade do Certificado de NFe,Validez de la certificación de NFe
Label.NotificationObject.Deadline,Deadline,Deadline,Fecha límite
Label.NotificationObject.DemurrageWarning,Demurrage Equip. Warning,Aviso de Demurrage,Advertencia de Demora en Equipamiento
Label.NotificationObject.ExpiredQuot,Quotation validity,Validade da Cotação,Validez de la cotización
Label.NotificationObject.FollowUpQuot,Quotation Followup,Followup de Cotação,Seguimiento de cotización
Label.NotificationObject.InvoiceExpiration,Invoice Expiration,Vencimento de Fatura,Caducidad de factura
Label.NotificationObject.NetworkingExpiration,Networking Expiration,Vencimento de Networking,Caducidad de Networking
Label.NotificationObject.PaymentError,Auto Recharge Error,Erro de Recarga Automática,Error de pago automático
Label.notifications,Notifications,Notificações,Notificaciones
Label.notify,Notify,Notify,Notificar
Label.notifyCnee,Notify Party,Notify Party,Parte notificada
Label.notifyMeAbout,Notify me about,Notificar-me sobre,Notifícame acerca de
Label.notIgnore,Do not ignore,Não ignorar,No ignorar
Label.notReleased,Not released,Não foi liberado,No liberado
Label.noVolumesInRange,The registered ranges does not include the number of days of this process. Please check the ranges of these volumes.,"As faixas cadastradas não contemplam a quantidade de dias deste processo. Por favor, verifique as faixas destes volumes.","Las gamas registradas no incluyen el número de días de este proceso. Por favor, verifique las gamas de estos volúmenes."
Label.noVolumesWithoutNonManifestedShipments,No volumes with non manifested shipments,Nenhum volume com remessas não manifestadas,Ningún volumen con envíos no manifestados
Label.noVolumeToBill,No Volume to Bill,Nenhum volume à cobrar,Sin volumen para facturar
Label.obAirline,Airline,Companhia Aérea,Aerolínea
Label.obDriver,Driver,Motorista,Conductor
Label.obOriginInput,Type the initial place,Digite o local inicial,Escriba el lugar inicial.
Label.obRoadCarrier,Road Carrier,Transportadora,Transportista terrestre
Label.obsCustomer,Customer Note,Observação do Cliente,Nota del cliente
Label.obsForCustomer,Notes for the customer,Observações para o cliente,Notas para el cliente
Label.obsFromForwarder,Notes from the freight forwarder,Observações do agente de carga,Notas del agente de carga
Label.obsInternal,Internal Note,Observação Interna,Nota interna
Label.obsPrintTerms,"Notes, Remarks, Conditions and Terms - Printed on Documents","Observações, Notas, Condições e Termos - Impresso nos Documentos","Notas, Observaciones, Condiciones y Términos - Impreso en los Documentos"
Label.addDemurrage,Add Demurrage,Adicionar Demurrage,Agregar Demurrage
Label.agentContract,Agent Contract,Contrato Agente,Contrato de Agente
Label.cdLanguage,Language,Língua,Idioma
Label.customerFt,Customer FT,FT Cliente,Cliente FT
Label.dashboard,Dashboard,Dashboard,Tablero de control
Label.dsNifVat,Type the document number,Digite o número do documento,Escriba el número del documento.
Label.flProtected,Protected,Protegido,Protegido
Label.instructionList,Instructions List,Lista de Instruções,Lista de instrucciones
Label.noOfficeFound,No office found,Nenhum escritório encontrado,Ninguna oficina encontrada
Label.obsSubAgent,Obs Sub Agent,Obs Representante,Obs Subagente
Label.obSupplier,Supplier,Fornecedor,Proveedor
Label.obSupplierContact,Supplier Contact,Contato do Fornecedor,Contacto del proveedor
Label.obSupplierEmpty,"The field ""Receive from"" is empty, click here to fix","O campo ""Receber de"" Está vazio, Clique aqui para corrigir","El campo ""Recibir de"" está vacío, haga clic aquí para corregir."
Label.occurence,Occurrence,Ocorrência,Ocurrencia
Label.occurrences,Occurrences,Ocorrências,Ocurrencias
Label.office,Office,Escritório,Oficina
Label.OfficeAddressL1,Address Line 1,Endereço Linha 1,Línea de dirección 1
Label.OfficeAddressL2,Address Line 2,Endereço Linha 2,Línea de dirección 2
Label.office-bank-transaction,Bank Transactions,Transações Bancárias,Transacciones bancarias
Label.officeConfig,Office Settings,Configurações do Escritório,Configuraciones de la Oficina
Label.officeDefinition,"The Office is a <b>point of presence for your Company</b>. At this time, the most correct is you <b>register your main office/headquarters</b>.","O Escritório é um <b>ponto de atuação da sua Empresa</b>. Neste momento, o mais correto é você <b>cadastrar seu escritório principal/matriz</b>.","La Oficina es un <b>punto de presencia para su Empresa</b>. En este momento, lo más correcto es que <b>registre su oficina principal/sede</b>."
Label.OfficeDocumentation,Office Documents,Escritório Documentos,Documentos de oficina
Label.officeEditing,Office Editing,Edição de Escritório,Edición de Oficina
Label.OfficeInttraCredentials,Office Inttra Credentials,Credenciais do Escritório no Inttra,Credenciales de la Oficina en Inttra
Label.officeLevel,Office Level,Nível de Escritório,Nivel de Oficina
Label.officeMenuColor,Menu Color for this Office,Cor do Menu neste Escritório,Color del menú para esta oficina
Label.OfficePhone,Phone,Telefone,Teléfono de oficina
Label.officeRegister,Office register,Cadastro do escritório,Registro de oficina
Label.officeRequiredContext,"To operate this company, it must have at least one office configured.","Para operar esta empresa, é necessário que a mesma tenha ao menos um escritório configurado.","Para operar esta empresa, es necesario que tenga al menos una oficina configurada."
Label.offices,Offices,Escritórios,Oficinas
Label.officeSelect,Select Office,Selecione o Escritório,Seleccionar Oficina
Label.office-sendcargo-process-profit,Process Profit (Send),Lucro Processos (Send),Beneficio del proceso (Enviar)
Label.OfficeTimeZone,Office Timezone,Timezone do Escritório,Zona horaria de la oficina
Label.OfficeWithoutContacts,No contacts in office,Sem contatos no escritório,Sin contactos en la oficina
Label.old,Old,Antigo,Antiguo
Label.onAddMoreQuotations,"When adding more sell quotations, this will be a consolidated quotation or Part Lot.","Ao adicionar mais cotações de venda, esta será uma cotação consolidada ou part lot.","Al agregar más cotizaciones de venta, esta será una cotización consolidada o Part Lot."
Label.oneLowercase,At least 1 lowercase letter,Ao menos 1 letra minúscula,Al menos 1 letra minúscula
Label.oneNumber,At least 1 number,Ao menos 1 número,Al menos 1 número
Label.oneUppercase,At least 1 uppercase letter,Ao menos 1 letra maiúscula,Al menos 1 letra mayúscula
Label.vertical,Vertical,Vertical,Vertical
Label.OkProceed,OK! Proceed,OK! Prossiga,¡OK! Continuar
Label.onlyApprovedQuotation.air.export,Only <b>approved air export</b> quotations are enabled to be imported in this section,Apenas cotações <b>aprovadas de importação aérea</b> podem ser importadas nesta seção,Solo se pueden importar en esta sección cotizaciones de <b>exportación aérea aprobadas</b>.
Label.onlyApprovedQuotation.air.import,Only <b>approved air import</b> quotations are enabled to be imported in this section,Apenas cotações <b>aprovadas de importação aérea</b> podem ser importadas nesta seção,Solo se pueden importar en esta sección las cotizaciones <b>aprobadas de importación aérea</b>.
Label.onlyApprovedQuotation.ground.export,Only <b>approved ground export</b> quotations are enabled to be imported in this section,Apenas cotações <b>aprovadas de exportação rodoviária</b> podem ser importadas nesta seção,Solo se pueden importar en esta sección las cotizaciones de <b>exportación terrestre aprobadas</b>.
Label.onlyApprovedQuotation.ground.import,Only <b>approved ground import</b> quotations are enabled to be imported in this section,Apenas cotações <b>aprovadas de importação rodoviária</b> podem ser importadas nesta seção,Solo se pueden importar en esta sección las cotizaciones de <b>importación terrestre aprobadas</b>.
Label.onlyApprovedQuotation.sea.export,Only <b>approved sea export</b> quotations are enabled to be imported in this section,Apenas cotações <b>aprovadas de exportação marítima</b> podem ser importadas nesta seção,Solo se pueden importar cotizaciones <b>aprobadas de exportación marítima</b> en esta sección.
Label.onlyApprovedQuotation.sea.import,Only <b>approved sea import</b> quotations are enabled to be imported in this section,Apenas cotações <b>aprovadas de importação marítima</b> podem ser importadas nesta seção,Solo se pueden importar en esta sección las cotizaciones <b>aprobadas de importación marítima</b>.
Label.onlyCdFreightType,Filter only Freight Type equals of quote/process,Filtrar somente Tipo de Frete desta cotação/processo,Filtrar solo el Tipo de Flete igual a la cotización/proceso.
Label.pricing.dtExpire,Expire,Validade,Caducidad
Label.onlyValidEquipment,Filter only equipment from this quote/process,Filtrar somente equipamentos desta cotação/processo,Filtrar solo equipos válidos de esta cotización/proceso.
Label.onRejectObs,"On <b>reopen</b>, use note field to notify customer about changes","Ao <b>reabrir</b>, utilize o campo de observação para comunicar ao cliente as alterações necessárias","Al <b>reabrir</b>, utilice el campo de observación para notificar al cliente sobre los cambios necesarios."
Label.oops,Oops!,Oops!,¡Ups!
